id;name;units;level;cat;payment;salary;bound_table_id;dep_id;dir_id;subdep_id
;Директор предприятия;1;;РУК;Контракт;Контракт;1;1;1;
;Первый заместитель директора;1;;РУК;18;56923;1;1;1;
;Главный инженер;1;;РУК;18;56923;1;1;1;
;Главный бухгалтер;1;;РУК;17;51749;1;1;1;
;Пресс-секретарь;1;;СПЕЦ;10;26555;1;1;1;
;Руководитель;1;;РУК;17;51749;1;2;1;
;Ведущий специалист ;1;;СПЕЦ;11;29210;1;2;1;
;Начальник;1;;РУК;15;42767;1;3;1;
;Главный специалист;1;;РУК;11;29210;1;3;1;
;Ведущий специалист по антитеррористической деятельности;1;;СПЕЦ;10;26555;1;3;1;
;Ведущий специалист;3;;СПЕЦ;10;26555;1;3;1;
;Начальник;1;;РУК;12;32132;1;4;1;8
;Ведущий специалист;1;;СПЕЦ;10;26555;1;4;1;8
;Специалист  1 категории;1;;СПЕЦ;8;21946;1;4;1;8
;Руководитель  службы;1;;РУК;13;35345;1;4;1;
;Заместитель руководителя  службы;1;;РУК;12;32132;1;4;1;
;Ведущий специалист;1;;СПЕЦ;10;26555;1;4;1;
;Специалист 1 категории;1;;СПЕЦ;8;21946;1;4;1;
;Начальник;1;;РУК;11;29210;1;5;1;
;Секретарь руководителя;1;;СПЕЦ;6;18137;1;5;1;
;Делопроизводитель;1;;СПЕЦ;7;19951;1;5;1;
;Руководитель;1;;РУК;14;38879;1;6;1;
;Ведущий специалист ;1;;СПЕЦ;11;29210;1;6;1;
;Начальник сектора;1;;РУК;12;32132;1;6;1;1
;Ведущий специалист ;2;;СПЕЦ;11;29210;1;6;1;1
;Начальник сектора;1;;РУК;12;32132;1;6;1;2
;Ведущий специалист ;2;;СПЕЦ;11;29210;1;6;1;2
;Начальник;1;;РУК;14;38879;1;7;1;
;Ведущий юрисконсульт;5;;СПЕЦ;11;29210;1;7;1;
;Юрисконсульт 1 категории ;2;;СПЕЦ;9;24141;1;7;1;
;Юрисконсульт  по исполнительному производству ;1;;СПЕЦ;10;26555;1;7;1;
;Начальник ;1;;РУК;13;35345,30188;1;8;1;
;Заместитель начальника;1;;РУК;11;29210,99329;1;8;1;
;Ведущий экономист;2;;СПЕЦ;10;26555,44844;1;8;1;
;Экономист 1 категории;1;;СПЕЦ;8;21946,65161;1;8;1;
;Начальник ;1;;РУК;13;35345,30188;1;9;1;
;Заместитель начальника;1;;РУК;12;32132,09262;1;9;1;
;Ведущий экономист;2;;СПЕЦ;11;29210,99329;1;9;1;
;Экономист 1 категории;1;;СПЕЦ;8;21946,65161;1;9;1;
;Заместитель главного бухгалтера;2;;РУК;13;35345,30188;1;10;1;
;Ведущий бухгалтер;4;;СПЕЦ;11;29210,99329;1;10;1;
;Бухгалтер 1 категории;5;;СПЕЦ;9;24141,31677;1;10;1;
;Бухгалтер-кассир1 категории;1;;СПЕЦ;9;24141,31677;1;10;1;
;Руководитель службы;1;;РУК;13;35345,30188;1;11;1;
;Ведущий специалист по охране труда ;1;;СПЕЦ;10;26555,44844;1;11;1;
;Ведущий специалист по промышленной безопасности;1;;СПЕЦ;10;26555,44844;1;11;1;
;Фельдшер;2;;СПЕЦ;4;14338,12538;1;11;1;
;Начальник службы;1;;РУК;14;38879,83206;1;12;1;
;Заместитель начальника;1;;РУК;11;29210,99329;1;12;1;
;Ведущий инженер по охране окружающей среды ;1;;СПЕЦ;10;26555,44844;1;12;1;
;Ведущий гидрогеолог;1;;СПЕЦ;10;26555,44844;1;12;1;
;Ведущий инженер по охране окружающей среды ;1;;СПЕЦ;10;26555,44844;1;12;1;
;Инженер по охране окружающей среды 1 категории;4;;СПЕЦ;8;21946,65161;1;12;1;
;Начальник ПО;1;;РУК;14;38879,83206;1;13;1;
;Начальник сектора;1;;РУК;12;32132,09262;1;13;1;3
;Ведущий инженер;2;;СПЕЦ;10;26555,44844;1;13;1;3
;Инженер 1 категории;4;;СПЕЦ;8;21946,65161;1;13;1;3
;Начальник сектора;1;;РУК;12;32132,09262;1;13;1;4
;Ведущий инженер;3;;СПЕЦ;10;26555,44844;1;13;1;4
;Инженер 1 категории;1;;СПЕЦ;8;21946,65161;1;13;1;4
;Сметчик 1 категории;1;;СПЕЦ;8;21946,65161;1;13;1;4
;Начальник сектора;1;;РУК;12;32132,09262;1;13;1;5
;Ведущий инженер;1;;СПЕЦ;10;26555,44844;1;13;1;5
;Инженер 1 категории;3;;СПЕЦ;8;21946,65161;1;13;1;5
